id,Colonia,Delitos,latitude,longitude
93,AMPLIACIÓN CARACOL,28,19.428643502796,-99.0681395998616
94,AMPLIACIÓN CASAS ALEMÁN,247,19.4759717135194,-99.0900377487026
95,AMPLIACIÓN COSMOPOLITA,12,19.4717015890163,-99.1604002833556
96,AMPLIACIÓN DANIEL GARZA,87,19.4091718978675,-99.1903539997113
97,AMPLIACION DEL CARMEN,6,19.3560551,-99.1665147
98,AMPLIACIÓN DEL GAS,79,19.4639383626616,-99.1564116762055
99,AMPLIACION DOS RIOS,6,19.3563087457293,-99.2463563468457
100,AMPLIACIÓN EL SANTUARIO,7,19.3521978020296,-99.0954604000255
101,AMPLIACIÓN EL TRIUNFO,26,19.377837581774,-99.1156382800085
102,AMPLIACIÓN EMILIANO ZAPATA,67,19.3404858340402,-98.9774832069721
103,AMPLIACIÓN ESTADO DE HIDALGO,6,19.3972087071568,-99.2093496717079
104,AMPLIACIÓN GABRIEL HERNÁNDEZ,92,19.50389773,-99.09725724
105,AMPLIACIÓN GABRIEL RAMOS MILLÁN,190,19.3886003457564,-99.0969645063926
106,AMPLIACIÓN GRANADA,123,19.4425768754129,-99.1941864917627
107,AMPLIACIÓN GUADALUPE PROLETARIA,12,19.5184029,-99.1479184
108,AMPLIACIÓN JALALPA,16,19.3769798572573,-99.2335559383731
109,AMPLIACION LA CANDELARIA,27,19.327576499152,-99.1534647002221
110,AMPLIACIÓN LA CEBADA,7,19.3794895181289,-99.2326481821004
111,AMPLIACIÓN LA CONCHITA,6,19.234234,-99.0021611
112,AMPLIACIÓN LOMAS DE SAN BERNABÉ,37,19.3052126,-99.268299
113,AMPLIACION LOMAS DE SANTO DOMINGO,9,19.3947517889194,-99.2006340865896
114,AMPLIACIÓN MÁRTIRES DE RÍO BLANCO,13,19.4616821028255,-99.1058976999779
115,AMPLIACIÓN MICHOACANA,27,19.4481507043311,-99.1116944004028
116,AMPLIACION MOLINO DE ROSAS,135,19.3740834478399,-99.1993023503964
117,AMPLIACIÓN NAPOLES,113,19.38565604,-99.17920805
118,AMPLIACIÓN PANAMERICANA,69,19.47819517,-99.14537199
119,AMPLIACIÓN PENITENCIARIA,107,19.4381724,-99.1183351
120,AMPLIACIÓN PETROLERA,26,19.4829961867835,-99.1974920888315
121,AMPLIACIÓN PILOTO ADOLFO LÓPEZ MATEOS,26,19.3737919242274,-99.2233138290794
122,AMPLIACIÓN POPO,6,19.4437468954258,-99.1969286000167
123,AMPLIACIÓN POTRERILLO,20,19.3073120027114,-99.2605477996196
124,AMPLIACIÓN PROGRESO NACIONAL,89,19.5210697992037,-99.1611697000304
125,AMPLIACIÓN PROVIDENCIA,47,19.4769018032467,-99.0723784996727
126,AMPLIACIÓN RICARDO FLORES MAGÓN,24,19.3540108967838,-99.1012697999437
